iter	MultiClass
0	1.840498296
1	1.612729543
2	1.364355867
3	1.19199052
4	1.070968695
5	0.959735228
6	0.8632991999
7	0.793373194
8	0.7416249776
9	0.6808736651
10	0.6314342329
11	0.5886633799
12	0.549423813
13	0.5163633176
14	0.4916345029
15	0.4628650037
16	0.4406980694
17	0.4205717275
18	0.3994954815
19	0.384194193
20	0.3670919605
21	0.3511445525
22	0.3405215642
23	0.3285750792
24	0.3154914952
25	0.3054755195
26	0.2978101553
27	0.2877554808
28	0.2781608895
29	0.2703203947
30	0.2629927315
31	0.2551206045
32	0.2495506531
33	0.2432402185
34	0.239188029
35	0.2354376137
36	0.2313915157
37	0.2281181888
38	0.2221555129
39	0.2177672103
40	0.2146002765
41	0.21114881
42	0.2068859433
43	0.2028076317
44	0.1999112263
45	0.1963003988
46	0.1943705543
47	0.192071991
48	0.1898047016
49	0.1880725187
50	0.1852347224
51	0.1834952233
52	0.1816017142
53	0.1799629481
54	0.1781845256
55	0.1760792577
56	0.1739016732
57	0.1721266288
58	0.1704291176
59	0.1691405394
60	0.1682495585
61	0.1665115633
62	0.1655438332
63	0.1645236745
64	0.163367907
65	0.1621460567
66	0.1613154578
67	0.1602452899
68	0.1599066801
69	0.1586919005
70	0.1583567686
71	0.1576473156
72	0.1569993334
73	0.1563690613
74	0.1552241637
75	0.1544974614
76	0.1533173802
77	0.152387875
78	0.152058316
79	0.1504965723
80	0.1502516566
81	0.149402023
82	0.1487255568
83	0.1477182762
84	0.1466872354
85	0.1456050205
86	0.1449019569
87	0.1444333301
88	0.1434842708
89	0.1423680824
90	0.1419492211
91	0.1416995375
92	0.1410226633
93	0.1405361083
94	0.1395327487
95	0.1391433391
96	0.13874039
97	0.1384677208
98	0.1380796519
99	0.1374982276
