iter	Passed	Remaining
0	455	45047
1	822	40316
2	1231	39820
3	1591	38186
4	1940	36862
5	2324	36418
6	2740	36414
7	3120	35888
8	3514	35536
9	3858	34728
10	4297	34768
11	4651	34112
12	5036	33704
13	5435	33387
14	5835	33066
15	6217	32640
16	6619	32319
17	6999	31887
18	7429	31673
19	7781	31124
20	8261	31079
21	8632	30606
22	9000	30132
23	9396	29754
24	9841	29524
25	10199	29029
26	10628	28735
27	11093	28526
28	11445	28021
29	11850	27652
30	12348	27484
31	12818	27239
32	13254	26909
33	13704	26602
34	14071	26132
35	14508	25793
36	14919	25403
37	15423	25164
38	15828	24756
39	16268	24402
40	16640	23946
41	17072	23576
42	17522	23228
43	17987	22893
44	18441	22539
45	18841	22118
46	19358	21829
47	19782	21430
48	20181	21005
49	20621	20621
50	21000	20176
51	21370	19726
52	21792	19325
53	22179	18893
54	22574	18469
55	22995	18067
56	23394	17648
57	23836	17260
58	24273	16868
59	24665	16443
60	25054	16018
61	25501	15629
62	25902	15212
63	26348	14821
64	26848	14456
65	27351	14090
66	27798	13691
67	28232	13285
68	28665	12878
69	29132	12485
70	29588	12085
71	30049	11685
72	30433	11256
73	30838	10835
74	31278	10426
75	31708	10013
76	32155	9604
77	32645	9207
78	33025	8778
79	33456	8364
80	33898	7951
81	34235	7515
82	34631	7093
83	35020	6670
84	35450	6255
85	35903	5844
86	36347	5431
87	36754	5011
88	37179	4595
89	37533	4170
90	37954	3753
91	38374	3336
92	38759	2917
93	39134	2497
94	39505	2079
95	40051	1668
96	40480	1251
97	40995	836
98	41432	418
99	41808	0
